section communale,Cultures,Saison 1,Saison2,Saison 3 et plus,total saison 1 ,total saison 2,moyenne 2 saisons,pc saison 1,pc saison 2,moyenne s1-s2,Pc moyenne,Total 2 saisons
111-01,Riz,0.06,0.17,0,434.09,394.95,414.52,0.01%,0.04%,0.115,0.03%,0.23
111-02,Riz,0,0,0,218.15,62.82,140.485,0.00%,0.00%,0,0.00%,0
111-03,Riz,0.49,0.1,0,131.84,17.46,74.65,0.37%,0.57%,0.295,0.40%,0.59
113-01,Riz,0,0,0,184.16,0,92.08,0.00%,0.00%,0,0.00%,0
113-02,Riz,0,0,0,311.48,17.64,164.56,0.00%,0.00%,0,0.00%,0
113-03,Riz,0.08,0.08,0,108.46,26.64,67.55,0.07%,0.30%,0.08,0.12%,0.16
113-04,Riz,1.5,0.33,0,332.51,16.97,174.74,0.45%,1.94%,0.915,0.52%,1.83
113-05,Riz,0.01,0,0,583.76,54.06,318.91,0.00%,0.00%,0.005,0.00%,0.01
113-06,Riz,0.01,0,0,257.68,5.08,131.38,0.00%,0.00%,0.005,0.00%,0.01
113-07,Riz,0.2,0,0,1059.15,6.92,533.035,0.02%,0.00%,0.1,0.02%,0.2
113-08,Riz,0,0,0,580.52,0.94,290.73,0.00%,0.00%,0,0.00%,0
113-09,Riz,0.07,0,0,267.28,40.61,153.945,0.03%,0.00%,0.035,0.02%,0.07
113-10,Riz,0,0,0,257.04,4.66,130.85,0.00%,0.00%,0,0.00%,0
113-11,Riz,1.11,0,0,610.79,18.87,314.83,0.18%,0.00%,0.555,0.18%,1.11
113-12,Riz,0,0,0,1218.47,0,609.235,0.00%,0.00%,0,0.00%,0
113-13,Riz,0.04,0,0,394.06,4.6,199.33,0.01%,0.00%,0.02,0.01%,0.04
114-01,Riz,0.03,0,0,381.1,327.42,354.26,0.01%,0.00%,0.015,0.00%,0.03
114-02,Riz,0.41,0.08,0,842.47,753.54,798.005,0.05%,0.01%,0.245,0.03%,0.49
114-03,Riz,0.03,1,0,872.49,297.33,584.91,0.00%,0.34%,0.515,0.09%,1.03
114-04,Riz,0.03,0.82,0,5300.78,3605.68,4453.23,0.00%,0.02%,0.425,0.01%,0.85
114-05,Riz,2.13,0.6,0,249.76,193.49,221.625,0.85%,0.31%,1.365,0.62%,2.73
115-01,Riz,0.79,1.09,0,678.12,529.14,603.63,0.12%,0.21%,0.94,0.16%,1.88
115-02,Riz,2.39,0,0,467.22,68.79,268.005,0.51%,0.00%,1.195,0.45%,2.39
115-03,Riz,2.35,20.07,0,1241.72,1141.77,1191.745,0.19%,1.76%,11.21,0.94%,22.42
115-04,Riz,0,0,0,632.89,304.33,468.61,0.00%,0.00%,0,0.00%,0
115-05,Riz,1.45,0.06,0,1119.17,1035.23,1077.2,0.13%,0.01%,0.755,0.07%,1.51
116-01,Riz,0,0,0,274.97,0.73,137.85,0.00%,0.00%,0,0.00%,0
116-02,Riz,0,0.01,0,298.92,175.91,237.415,0.00%,0.01%,0.005,0.00%,0.01
116-03,Riz,0.08,0,0,436.19,52.89,244.54,0.02%,0.00%,0.04,0.02%,0.08
117-01,Riz,0.02,0,0,285.37,103.42,194.395,0.01%,0.00%,0.01,0.01%,0.02
117-02,Riz,0.55,0.28,0,295.88,159.27,227.575,0.19%,0.18%,0.415,0.18%,0.83
118-03,Riz,0,0,0,59.86,61.02,60.44,0.00%,0.00%,0,0.00%,0
118-04,Riz,0.02,0,0,35.83,24.17,30,0.06%,0.00%,0.01,0.03%,0.02
121-01,Riz,7.62,0.37,0,1180.86,20.04,600.45,0.65%,1.85%,3.995,0.67%,7.99
121-02,Riz,0.73,0.7,0,750.89,37.2,394.045,0.10%,1.88%,0.715,0.18%,1.43
121-03,Riz,4.38,5.67,3.92,1050.73,224.31,637.52,0.42%,2.53%,5.025,0.79%,10.05
121-04,Riz,0,0,0,362.33,233.23,297.78,0.00%,0.00%,0,0.00%,0
121-05,Riz,0.1,0.11,0,251.56,98.24,174.9,0.04%,0.11%,0.105,0.06%,0.21
121-06,Riz,2.14,0,0,436.21,44.16,240.185,0.49%,0.00%,1.07,0.45%,2.14
121-07,Riz,0.04,0,0,812.84,27.85,420.345,0.00%,0.00%,0.02,0.00%,0.04
121-08,Riz,0.1,0,0,593.7,5.91,299.805,0.02%,0.00%,0.05,0.02%,0.1
